filename,currentPosX,currentPosY,currentDeg,targetPosX,targetPosY
JULY12-THREEWALLS.csv,50,812,0,275,400
,50,737,0,370,400
,50,662,0,465,400
,50,587,0,560,400
,50,512,0,275,485
,50,437,0,370,485
,50,362,0,465,485
,50,287,0,560,485
,87,50,0,275,570
,162,50,0,370,570
,237,50,0,465,570
,312,50,0,560,570
,387,50,0,275,655
,462,50,0,370,655
,537,50,0,465,655
,612,50,0,560,655
,862,125,0,275,740
,862,200,0,370,740
,862,275,0,465,740
,862,350,0,560,740
,862,425,0,275,825
,862,500,0,370,825
,862,575,0,465,825
,862,650,0,560,825
